username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;retweetornot
RoninGreg;2018-06-25 19:59;0;2;"The increasingly rage driven and insane tactics of the Left have spawned the #WalkAway movement.";;;#WalkAway;"1011398556186562561";https://twitter.com/RoninGreg/status/1011398556186562561;0
jwhite1122;2018-06-25 19:59;0;0;"#WalkAway #WWG1WGA #QAnon";;;#WalkAway #WWG1WGA #QAnon;"1011398475005808640";https://twitter.com/jwhite1122/status/1011398475005808640;0
texanfor45;2018-06-25 19:59;0;0;"After you’re done kicking your own ass, stand up to your mistakes , open your eyes and #WalkAway https:// twitter.com/realtylerzed/s tatus/1011392143368151040 …";;;#WalkAway;"1011398432920129536";https://twitter.com/texanfor45/status/1011398432920129536;1
maybehumanuknow;2018-06-25 19:59;0;0;"#WalkAway https:// twitter.com/almostjingo/st atus/1011302748321603584 …";;;#WalkAway;"1011398432437698560";https://twitter.com/maybehumanuknow/status/1011398432437698560;1
MerrittCorless;2018-06-25 19:58;0;7;"I was liberal most of my adult life. What made me #WalkAway was Hayek, JS Mill, Locke, Sowell, Friedman, et al. Having acquired a better understanding of the principles of liberty, I could never support the Dems as they currently stand.";;;#WalkAway;"1011398290103910400";https://twitter.com/MerrittCorless/status/1011398290103910400;0
FoodCurmudgeon;2018-06-25 19:58;0;0;"No many are #walkaway from Trump. (shouldn't it be walking? Just curious).";;;#walkaway;"1011398216842170369";https://twitter.com/FoodCurmudgeon/status/1011398216842170369;0
Patrici28579561;2018-06-25 19:58;0;0;"Democrat protests are violent. They destroy people's property. They hurt innocent people and police on purpose. They scream obscenities at us all. Democrats don't want to solve problems they want to cause problems. Come join the solution. #WalkAway";;;#WalkAway;"1011398208046682112";https://twitter.com/Patrici28579561/status/1011398208046682112;0
Allisdabomb;2018-06-25 19:58;0;3;"@HouseMtnYarnCo Being conservative makes me not welcome in your establishment. What an horrible business decision to discriminate against people. Hate is not the way to live. #WalkAway #Boycott #RedHenLex #SheOwnsThisOneToo #TrumpTrain";;@HouseMtnYarnCo;#WalkAway #Boycott #RedHenLex #SheOwnsThisOneToo #TrumpTrain;"1011398158172078080";https://twitter.com/Allisdabomb/status/1011398158172078080;0
ItsKrissy;2018-06-25 19:57;0;4;"Let me RT myself real quick, bc addendum: #walkaway https:// twitter.com/itskrissy/stat us/1011395902316179456 …";;;#walkaway;"1011398097233174529";https://twitter.com/ItsKrissy/status/1011398097233174529;1
kernolsooner;2018-06-25 19:57;0;1;"Even the old folks are tired of #fakenews #fakejournalism bet she was a democrat at one time #WalkAway";;;#fakenews #fakejournalism #WalkAway;"1011398075297026048";https://twitter.com/kernolsooner/status/1011398075297026048;0
maybehumanuknow;2018-06-25 19:57;0;0;"#WalkAway https:// twitter.com/sweetatertot2/ status/1010908268800172032 …";;;#WalkAway;"1011398020750041088";https://twitter.com/maybehumanuknow/status/1011398020750041088;1
delascasas2011;2018-06-25 19:57;0;2;"I was a registered Democrat for the greater portion of my voting life. The #Clintons cinched it for me. I was an #Independent through the Bush years. Obama was an eight year blank. The hatred and violence the @Democrats now promote convince me I was right to #WalkAway ...";;@Democrats;#Clintons #Independent #WalkAway;"1011398000273342465";https://twitter.com/delascasas2011/status/1011398000273342465;0
