username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;retweetornot
usminority;2018-05-26 18:40;3;6;"Thanks, @PeteHolmbergNYC ! @RealCandaceO please check out my video on who I’ve left liberalism and the left- and help me get the #WalkAway movement off the ground!!! https://www. facebook.com/usminority/vid eos/486555651765405/ … https:// twitter.com/peteholmbergny c/status/1000478766760714241 …";;@PeteHolmbergNYC @RealCandaceO;#WalkAway;"1000507003838582787";https://twitter.com/usminority/status/1000507003838582787;0
YouMeAndPTSD;2018-05-26 18:28;2;4;"If you express a need or want in order to attain you're happiness and it's dismissed as dramatic or overacting. Then maybe you should reschedule your appointment with happiness elsewhere. #LOVEYOURSELF #relationships #selfworth #walkaway pic.twitter.com/vRixDdV7S7";;;#LOVEYOURSELF #relationships #selfworth #walkaway;"1000504024137981952";https://twitter.com/YouMeAndPTSD/status/1000504024137981952;0
JdDvo;2018-05-26 18:12;0;0;"#Walkaway If Europe want to trade with us, they need to get rid of the #EC dictators. https://www. facebook.com/story.php?stor y_fbid=2171716349730365&id=100006760620546 …";;;#Walkaway #EC;"1000500022734196738";https://twitter.com/JdDvo/status/1000500022734196738;0
CanadaVigilant;2018-05-26 16:33;0;0;"#RealEstateBuyersOfCanada > AbsolutelyJust #StopBuyingFor2 -3 Yrs> Let The #AveragePrice Come Down(Too $390K) To MatchAverage #FamilyIncome ($75K)>UntilThen Stay Where You Are> If You Must Buy ButOffer 30% #BelowAskingPrice Or #WalkAway >Unless Of Course, U Want To LooseYour Shirt";;;#RealEstateBuyersOfCanada #StopBuyingFor2 #AveragePrice #FamilyIncome #BelowAskingPrice #WalkAway;"1000475047251906561";https://twitter.com/CanadaVigilant/status/1000475047251906561;0
EthanLinf;2018-05-26 16:29;0;3;"Please think of the emergency services around this busy period. Already stretched resources will be stretched further. No matter the outcome or how much alcohol people consume, please try and keep a clear mind. Alcohol can distort judgment. #clearhead #walkaway pic.twitter.com/fvi3Z5aBwM";;;#clearhead #walkaway;"1000473899002421253";https://twitter.com/EthanLinf/status/1000473899002421253;0
usminority;2018-05-26 14:53;2;4;"Thank you @PeteHolmbergNYC ! Please join the #WalkAway movement!!! #Minorities in #america its time to #WalkAway from the #DemocraticParty and #Liberalism https:// twitter.com/peteholmbergny c/status/1000436251026182144 …";;@PeteHolmbergNYC;#WalkAway #Minorities #america #WalkAway #DemocraticParty #Liberalism;"1000449794773606400";https://twitter.com/usminority/status/1000449794773606400;1
MikeyTheHarlow;2018-05-26 14:44;0;1;"https:// youtu.be/4Pjs7uoOkag #WalkAway";;;#WalkAway;"1000447482139152384";https://twitter.com/MikeyTheHarlow/status/1000447482139152384;0
PeteHolmbergNYC;2018-05-26 13:59;8;21;"Quite possibly the MOST powerful explanation for leaving the Democratic Party that I have ever heard... #WalkAway https:// twitter.com/usminority/sta tus/1000423835613712384 …";;;#WalkAway;"1000436251026182144";https://twitter.com/PeteHolmbergNYC/status/1000436251026182144;1
usminority;2018-05-26 13:10;17;25;"#WalkAway : http:// youtu.be/4Pjs7uoOkag?a via @YouTube";;@YouTube;#WalkAway;"1000423835613712384";https://twitter.com/usminority/status/1000423835613712384;0
white_mgtow;2018-05-26 12:43;7;22;"#Bluepilled / unaware men getting destroyed and learning about #MGTOW the hard way. #NewNorms #Redpill #Walkaway #Liberty #MemorialDayWeekend2018 pic.twitter.com/ReILTFWVVn";;;#Bluepilled #MGTOW #NewNorms #Redpill #Walkaway #Liberty #MemorialDayWeekend2018;"1000417235985285120";https://twitter.com/white_mgtow/status/1000417235985285120;0
